order_id,predicted_class,confidence,reason
order_02PTGFG7YUN5PN,R6,0.8,R6 is never auto-resolvable
order_0FMVT9UR72K2A2,R6,1.0,R6 is never auto-resolvable
order_0ZCT33JQ9ZDJ4Q,R6,1.0,R6 is never auto-resolvable
order_19DDGBNAVYT326,R6,0.95,R6 is never auto-resolvable
order_27J46BYBD50N7C,R6,1.0,R6 is never auto-resolvable
order_2C492T45D3K9SQ,R6,1.0,R6 is never auto-resolvable
order_2CXE7Q2X43ZCFS,R6,1.0,R6 is never auto-resolvable
order_3RWXECU429B135,R6,0.8,R6 is never auto-resolvable
order_3YQRLV1H97BJB9,R6,1.0,R6 is never auto-resolvable
order_474WUJHKE8D8NA,R6,0.95,R6 is never auto-resolvable
order_4PXUSWBNLJV9A0,R6,1.0,R6 is never auto-resolvable
order_7P3UNBA4TTQMYN,R6,0.95,R6 is never auto-resolvable
order_86ATAU4S74USN9,R6,1.0,R6 is never auto-resolvable
order_884TJJ23R8530A,R6,1.0,R6 is never auto-resolvable
order_8AEBZ1PTKPACSQ,R6,1.0,R6 is never auto-resolvable
order_A5LJXXPUDS7DQD,R6,1.0,R6 is never auto-resolvable
order_C4DA3J3XUM2ETT,R6,1.0,R6 is never auto-resolvable
order_CJRNLW516NBKNJ,R6,1.0,R6 is never auto-resolvable
order_CWV4X4Y7YT9M6L,R6,1.0,R6 is never auto-resolvable
order_E98TYAFHJJMP8F,R6,1.0,R6 is never auto-resolvable
order_ECUGUT5LZKBG1M,R6,1.0,R6 is never auto-resolvable
order_EJNK6GZ68UPXXA,R6,0.95,R6 is never auto-resolvable
order_FUPLDW7X3AB7G8,R6,1.0,R6 is never auto-resolvable
order_G3K844FS2BBTKC,R6,1.0,R6 is never auto-resolvable
order_GQKDTAM5QW3Z7E,R6,1.0,R6 is never auto-resolvable
order_GTTBS880NY5ET4,R6,1.0,R6 is never auto-resolvable
order_H9LY0848A2KZSJ,R6,1.0,R6 is never auto-resolvable
order_JHZELNHU0MYMAQ,R6,1.0,R6 is never auto-resolvable
order_LCBX8UN3BT51EP,R6,1.0,R6 is never auto-resolvable
order_LDYXNRQHMGX52J,R6,0.9,R6 is never auto-resolvable
order_M8F9JH1HPS09ZW,R6,1.0,R6 is never auto-resolvable
order_MBN01F1FE479P2,R6,1.0,R6 is never auto-resolvable
order_MGN218XCGNH6Q2,R6,1.0,R6 is never auto-resolvable
order_MN8EZRS1JUP8GP,R6,1.0,R6 is never auto-resolvable
order_MRGQ717ZEWYXJ9,R6,1.0,R6 is never auto-resolvable
order_N0Q7MHAHCTRBEQ,R6,1.0,R6 is never auto-resolvable
order_NL93SZSDLYQEMA,R6,1.0,R6 is never auto-resolvable
order_NSPU0AK70RMFAJ,R6,1.0,R6 is never auto-resolvable
order_NV8KGJCUQ1VZJK,R6,1.0,R6 is never auto-resolvable
order_P2DTR71MTENZA1,R6,0.95,R6 is never auto-resolvable
order_PNX2P2UJXPE4X0,R6,1.0,R6 is never auto-resolvable
order_Q08X3ESEYS68KQ,R6,0.95,R6 is never auto-resolvable
order_Q5GNYVFX03XR8N,R6,1.0,R6 is never auto-resolvable
order_R6TKZKDXC1GQPB,R6,1.0,R6 is never auto-resolvable
order_S3ZL34CAWBPP07,R6,1.0,R6 is never auto-resolvable
order_SCCVK5XN0RH5BY,R6,0.95,R6 is never auto-resolvable
order_SCYNBQ21WDCY7X,R6,1.0,R6 is never auto-resolvable
order_UVS2K5WRTJDBXW,R6,1.0,R6 is never auto-resolvable
order_VAJSFLS8EZUJPG,R6,1.0,R6 is never auto-resolvable
order_VCXZLLLQPV5M01,R6,1.0,R6 is never auto-resolvable
order_VWALWRJRCJ6QPF,R6,0.95,R6 is never auto-resolvable
order_W3ZJEHJJ16ZY27,R6,0.95,R6 is never auto-resolvable
order_WLL58JYNBNPJS4,R6,1.0,R6 is never auto-resolvable
order_WNKX6PES68E3Y2,R6,1.0,R6 is never auto-resolvable
order_WTTZ0Q6V10ZB1L,R6,1.0,R6 is never auto-resolvable
order_XTWA8XV9H23SFB,R6,1.0,R6 is never auto-resolvable
order_Z67MX1F9WC0LDH,R6,1.0,R6 is never auto-resolvable
order_ZJS1V3WX03SGX3,R6,1.0,R6 is never auto-resolvable
order_ZK7CLY3L0ZCPFR,R6,1.0,R6 is never auto-resolvable
order_ZTUVFYD8E4MU39,R6,1.0,R6 is never auto-resolvable
